"","ID","Period","Degree","Strength","Prop_BG","Prop_FG","Prop_SD","Prop_NF","HI","During","After","Group_size"
"1","BEGR","1-Before_HAB",0,0,0.884955752212389,0,0,0.00884955752212389,"BG",0,0,1
"51","F194","1-Before_HAB",44,0.670234502701737,0.012987012987013,0,0,0.402597402597403,"BG",0,0,2.55844155844156
"13","F109","1-Before_HAB",68,1.1283321365872,0,0.00423728813559322,0.00423728813559322,0.355932203389831,"FG",0,0,2.84322033898305
"17","F118","1-Before_HAB",81,1.44430286729443,0,0.00641025641025641,0,0.375,"FG",0,0,3.34294871794872
"21","F128","1-Before_HAB",54,1.21676244695388,0,0.00549450549450549,0,0.43956043956044,"FG",0,0,2.98351648351648
"29","F142","1-Before_HAB",43,1.02702488957909,0,0.0111111111111111,0,0.366666666666667,"FG",0,0,3.37777777777778
"36","F155","1-Before_HAB",73,1.33187066060639,0,0.0188087774294671,0,0.304075235109718,"FG",0,0,3.15673981191223
"43","F175","1-Before_HAB",81,1.14540296516117,0,0.00668896321070234,0,0.25752508361204,"FG",0,0,2.84280936454849
"45","F178","1-Before_HAB",58,1.53040903715757,0,0.0173913043478261,0,0.373913043478261,"FG",0,0,3.70869565217391
"70","FB09","1-Before_HAB",69,1.82864484976068,0,0.00826446280991736,0,0.347107438016529,"FG",0,0,4.14876033057851
"94","FB92","1-Before_HAB",69,0.991682616130056,0,0.024896265560166,0,0.327800829875519,"FG",0,0,2.75
"131","F109","1-Before_HAB",68,1.1283321365872,0,0.00423728813559322,0.00423728813559322,0.355932203389831,"SD",0,0,2.84322033898305
"77","FB27","1-Before_HAB",92,1.61258588058191,0,0,0.00483091787439614,0.29951690821256,"SD",0,0,3.79710144927536
"88","FB65","1-Before_HAB",77,1.67079549440947,0,0,0.00321543408360129,0.218649517684887,"SD",0,0,3.47909967845659
"95","FB93","1-Before_HAB",84,1.44935496965322,0,0,0.00523560209424084,0.261780104712042,"SD",0,0,3.71204188481675
"2","BOOT","1-Before_HAB",17,1.63413836410618,0,0,0,0.285714285714286,"NF",0,0,4.21428571428571
"3","BOXR","1-Before_HAB",62,0.928541496228035,0,0,0,0.181818181818182,"NF",0,0,4.60606060606061
"4","C596","1-Before_HAB",56,0.944854836620884,0,0,0,0.357142857142857,"NF",0,0,4.23214285714286
"5","C834","1-Before_HAB",52,1.07050007701216,0,0,0,0.3,"NF",0,0,3.24
"6","C835","1-Before_HAB",43,0.70646786451885,0,0,0,0.333333333333333,"NF",0,0,2.82608695652174
"7","C991","1-Before_HAB",16,0.410980518461963,0,0,0,0.357142857142857,"NF",0,0,3.57142857142857
"8","CWM3","1-Before_HAB",20,0.597975328012863,0,0,0,0.290322580645161,"NF",0,0,2.58064516129032
"9","DRSN","1-Before_HAB",55,0.979022827432676,0,0,0,0.269662921348315,"NF",0,0,3.26966292134831
"10","F102","1-Before_HAB",12,1.01228253857956,0,0,0,0.52,"NF",0,0,2.56
"11","F106","1-Before_HAB",70,1.2562089708263,0,0,0,0.342629482071713,"NF",0,0,3.24302788844621
"12","F108","1-Before_HAB",45,0.883701297469965,0,0,0,0.347826086956522,"NF",0,0,3.31884057971015
"14","F110","1-Before_HAB",37,1.07223419645878,0,0,0,0.474358974358974,"NF",0,0,3.01282051282051
"15","F113","1-Before_HAB",64,2.34539205582753,0,0,0,0.217592592592593,"NF",0,0,5.08796296296296
"16","F114","1-Before_HAB",45,1.22949782618226,0,0,0,0.365853658536585,"NF",0,0,3.13414634146341
"18","F123","1-Before_HAB",52,1.15108629817505,0,0,0,0.348314606741573,"NF",0,0,3.93258426966292
"19","F125","1-Before_HAB",53,0.924196261090576,0,0,0,0.362068965517241,"NF",0,0,3.01724137931034
"20","F127","1-Before_HAB",45,1.69152840969302,0,0,0,0.353233830845771,"NF",0,0,3.34825870646766
"22","F131","1-Before_HAB",90,2.25926340063427,0,0,0,0.316666666666667,"NF",0,0,4.21
"23","F133","1-Before_HAB",49,1.74339049708394,0,0,0,0.195652173913043,"NF",0,0,5.78260869565217
"24","F134","1-Before_HAB",25,0.363513604674058,0,0,0,0.5,"NF",0,0,2.175
"25","F135","1-Before_HAB",44,1.00636063872874,0,0,0,0.3125,"NF",0,0,4.85416666666667
"26","F137","1-Before_HAB",44,1.10408143291872,0,0,0,0.238095238095238,"NF",0,0,4.01587301587302
"27","F138","1-Before_HAB",68,2.14381642739232,0,0,0,0.363636363636364,"NF",0,0,4.5959595959596
"28","F141","1-Before_HAB",49,1.42660926190272,0,0,0,0.202898550724638,"NF",0,0,3.73913043478261
"30","F146","1-Before_HAB",71,1.97247738041706,0,0,0,0.205223880597015,"NF",0,0,4.21641791044776
"31","F148","1-Before_HAB",57,1.52047129189392,0,0,0,0.298319327731092,"NF",0,0,3.76470588235294
"32","F149","1-Before_HAB",53,0.728116757233672,0,0,0,0.225806451612903,"NF",0,0,2.66666666666667
"33","F151","1-Before_HAB",25,1.30689551831511,0,0,0,0.193548387096774,"NF",0,0,4.38709677419355
"34","F153","1-Before_HAB",41,0.898810480288425,0,0,0,0.35,"NF",0,0,3.17
"35","F154","1-Before_HAB",41,0.675193833572027,0,0,0,0.227272727272727,"NF",0,0,3.36363636363636
"37","F157","1-Before_HAB",62,1.40960586652147,0,0,0,0.312849162011173,"NF",0,0,3.27932960893855
"38","F159","1-Before_HAB",65,1.4379811209072,0,0,0,0.338235294117647,"NF",0,0,4.33823529411765
"39","F162","1-Before_HAB",39,0.439126059985274,0,0,0,0.448979591836735,"NF",0,0,2.40816326530612
"40","F164","1-Before_HAB",31,0.474415008651278,0,0,0,0.621621621621622,"NF",0,0,3
"41","F165","1-Before_HAB",55,1.45210054690763,0,0,0,0.227848101265823,"NF",0,0,5.30379746835443
"42","F167","1-Before_HAB",15,0.268683815351734,0,0,0,0.285714285714286,"NF",0,0,2.57142857142857
"44","F176","1-Before_HAB",24,0.39700782365632,0,0,0,0.210526315789474,"NF",0,0,2.42105263157895
"46","F180","1-Before_HAB",39,0.666122123836917,0,0,0,0.342857142857143,"NF",0,0,3.32857142857143
"47","F181","1-Before_HAB",61,1.18440280128364,0,0,0,0.239234449760766,"NF",0,0,2.65071770334928
"48","F182","1-Before_HAB",59,1.36176929661359,0,0,0,0.346368715083799,"NF",0,0,3.3072625698324
"49","F188","1-Before_HAB",52,1.63205130519369,0,0,0,0.271186440677966,"NF",0,0,4.22033898305085
"50","F190","1-Before_HAB",52,1.04124534865587,0,0,0,0.218978102189781,"NF",0,0,2.97080291970803
"52","F196","1-Before_HAB",56,0.770639084131495,0,0,0,0.384,"NF",0,0,2.728
"53","F198","1-Before_HAB",68,1.29059144447026,0,0,0,0.353333333333333,"NF",0,0,3.57333333333333
"54","F203","1-Before_HAB",6,0.240051006100243,0,0,0,0.333333333333333,"NF",0,0,2.41666666666667
"55","F215","1-Before_HAB",28,0.904222506986524,0,0,0,0.32258064516129,"NF",0,0,3.96774193548387
"56","F218","1-Before_HAB",49,1.33193341037495,0,0,0,0.30188679245283,"NF",0,0,4.36792452830189
"57","F219","1-Before_HAB",20,0.410300758262716,0,0,0,0.133333333333333,"NF",0,0,2.2
"58","F220","1-Before_HAB",56,1.46838250958716,0,0,0,0.25,"NF",0,0,5.14130434782609
"59","F222","1-Before_HAB",62,1.17309335051004,0,0,0,0.328571428571429,"NF",0,0,4.4
"60","F228","1-Before_HAB",47,1.53433471702369,0,0,0,0.16,"NF",0,0,5.05
"61","F236","1-Before_HAB",38,0.496406139830544,0,0,0,0.4,"NF",0,0,3.76666666666667
"62","F237","1-Before_HAB",31,0.480598991533734,0,0,0,0.318181818181818,"NF",0,0,2.22727272727273
"63","F248","1-Before_HAB",19,0.332137374385954,0,0,0,0.388888888888889,"NF",0,0,2.72222222222222
"64","F258","1-Before_HAB",22,0.298555849261863,0,0,0,0.333333333333333,"NF",0,0,2.76190476190476
"65","F268","1-Before_HAB",36,0.55618758131352,0,0,0,0.615384615384615,"NF",0,0,4.03846153846154
"66","F276","1-Before_HAB",48,1.37945497663259,0,0,0,0.460526315789474,"NF",0,0,3.85526315789474
"67","FB02","1-Before_HAB",65,1.41404856350784,0,0,0,0.366279069767442,"NF",0,0,3.56395348837209
"68","FB05","1-Before_HAB",58,1.36787535624423,0,0,0,0.257510729613734,"NF",0,0,3.49356223175966
"69","FB07","1-Before_HAB",81,2.12993479362035,0,0,0,0.25,"NF",0,0,4.20679012345679
"71","FB10","1-Before_HAB",71,1.04334645651124,0,0,0,0.347107438016529,"NF",0,0,2.88842975206612
"72","FB11","1-Before_HAB",73,2.1824580859654,0,0,0,0.203517587939698,"NF",0,0,3.94974874371859
"73","FB13","1-Before_HAB",51,1.73515544564468,0,0,0,0.343891402714932,"NF",0,0,3.31674208144796
"74","FB15","1-Before_HAB",69,1.45795803106753,0,0,0,0.304093567251462,"NF",0,0,3.44444444444444
"75","FB20","1-Before_HAB",59,1.30061013561714,0,0,0,0.362385321100917,"NF",0,0,3.05963302752294
"76","FB25","1-Before_HAB",79,1.82784332149756,0,0,0,0.307017543859649,"NF",0,0,3.94298245614035
"78","FB28","1-Before_HAB",63,0.691617046376181,0,0,0,0.306451612903226,"NF",0,0,2.37634408602151
"79","FB33","1-Before_HAB",58,1.96837883916633,0,0,0,0.307053941908714,"NF",0,0,4.26141078838174
"80","FB35","1-Before_HAB",37,0.968392744182403,0,0,0,0.386363636363636,"NF",0,0,3.95454545454545
"81","FB36","1-Before_HAB",72,0.832963299945327,0,0,0,0.404347826086957,"NF",0,0,2.44782608695652
"82","FB43","1-Before_HAB",52,0.736314995535093,0,0,0,0.339285714285714,"NF",0,0,2.92857142857143
"83","FB44","1-Before_HAB",62,0.999239345212882,0,0,0,0.432624113475177,"NF",0,0,2.9645390070922
"84","FB48","1-Before_HAB",54,0.563375053216494,0,0,0,0.150537634408602,"NF",0,0,2.43010752688172
"85","FB54","1-Before_HAB",67,2.27495593226792,0,0,0,0.309895833333333,"NF",0,0,4.19270833333333
"86","FB55","1-Before_HAB",63,1.90154774442035,0,0,0,0.272373540856031,"NF",0,0,4.05836575875486
"87","FB63","1-Before_HAB",50,1.85715170018636,0,0,0,0.350574712643678,"NF",0,0,4.42528735632184
